식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,제공기관코드,제공기관명
D101-006100000-0001,덮밥_닭고기,D,음식,1,가정식(분석 함량),1,밥류,1006,덮밥,100610,닭고기,10061000,해당없음,0,해당없음,100g,125,70.8,11.4,2.18,0.76,14.82,1.07,1.1,21,0.53,108,137,153,63,50,167,0.144,0.122,0,0,0,92.29,0.79,0.01,3,식품의약품안전처,410g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-006130000-0001,덮밥_돼지고기(제육),D,음식,1,가정식(분석 함량),1,밥류,1006,덮밥,100613,돼지고기(제육),10061300,해당없음,0,해당없음,100g,202,62,9.43,10.77,0.95,16.86,1.98,1.4,11,0.49,101,196,174,31,3,343,0.319,0.16,15.33,0,0,27.94,3.42,0.05,3,식품의약품안전처,470g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-006190000-0001,덮밥_불고기,D,음식,1,가정식(분석 함량),1,밥류,1006,덮밥,100619,불고기,10061900,해당없음,0,해당없음,100g,182,60.2,6.6,5.31,0.97,26.96,0.07,2.8,6,0.82,73,138,253,1,0,7,0.163,0.06,0,0,0,15.83,1.4,0.24,3,식품의약품안전처,400g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-006310000-0001,덮밥_오징어,D,음식,1,가정식(분석 함량),1,밥류,1006,덮밥,100631,오징어,10063100,해당없음,0,해당없음,100g,135,68.1,7.18,2.01,0.81,21.94,0.66,2.6,8,0.22,78,135,162,46,1,539,0.003,0.019,0.014,0,0,46.44,0.24,0,3,식품의약품안전처,360g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-008000000-0001,보리밥,D,음식,1,가정식(분석 함량),1,밥류,1008,보리밥,100800,해당없음,10080000,해당없음,0,해당없음,100g,161,59.9,2.9,0.24,0.24,36.77,2.57,2.4,7,0.2,34,28,4,0,0,0,0.035,0.005,0.045,0.02,0,0,0.1,0,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-010000000-0001,볶음밥,D,음식,1,가정식(분석 함량),1,밥류,1010,볶음밥,101000,해당없음,10100000,해당없음,0,해당없음,100g,183,56.9,5.56,2.76,0.84,33.97,0,1.7,13,0.52,61,99,212,40,10,356,0.12,0.034,0.109,4.13,0,29.28,1.1,0.03,3,식품의약품안전처,350g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-010020000-0001,볶음밥_계란,D,음식,1,가정식(분석 함량),1,밥류,1010,볶음밥,101002,계란,10100200,해당없음,0,해당없음,100g,225,56.6,6.62,11.28,1.25,24.23,0.17,1.8,18,0.44,94,159,318,47,16,378,0.077,0.085,0,31.12,0,62.63,2.2,0.05,3,식품의약품안전처,260g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-010060000-0001,볶음밥_김치,D,음식,1,가정식(분석 함량),1,밥류,1010,볶음밥,101006,김치,10100600,해당없음,0,해당없음,100g,167,68.1,5.32,9.18,1.62,15.74,13.89,2.8,30,0.7,72,168,470,25,13,141,0.27,0.097,0.015,4.17,0,70.41,1.43,0.04,3,식품의약품안전처,330g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-010210000-0001,볶음밥_새우,D,음식,1,가정식(분석 함량),1,밥류,1010,볶음밥,101021,새우,10102100,해당없음,0,해당없음,100g,172,64.1,6.31,6.14,0.61,22.85,0.71,1.6,12,0.35,62,65,146,38,13,304,0.003,0.1,1.016,4.12,0,70.72,1.19,0.03,3,식품의약품안전처,370g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-010250000-0001,볶음밥_쇠고기,D,음식,1,가정식(분석 함량),1,밥류,1010,볶음밥,101025,쇠고기,10102500,해당없음,0,해당없음,100g,176,63.2,7.59,6.48,0.92,21.76,0.08,2.1,18,0.62,86,167,215,31,18,151,0.038,0.127,6.819,4.8,0,50.02,1.47,0.07,3,식품의약품안전처,260g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-010370000-0001,볶음밥_참치,D,음식,1,가정식(분석 함량),1,밥류,1010,볶음밥,101037,참치,10103700,해당없음,0,해당없음,100g,180,57.4,4.62,3.27,1.83,32.9,0.12,1.6,15,0.11,46,66,631,7,0,90,0,0.013,0.23,0.18,0,2.76,0.49,0.02,3,식품의약품안전처,230g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-010390000-0001,볶음밥_채소,D,음식,1,가정식(분석 함량),1,밥류,1010,볶음밥,101039,채소,10103900,해당없음,0,해당없음,100g,182,59.7,4.72,5.39,1.44,28.74,0.29,2.3,17,0.42,61,156,408,32,15,210,0.038,0.062,0,0.76,0,46.24,0.84,0.02,3,식품의약품안전처,260g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-010420000-0001,볶음밥_표고버섯,D,음식,1,가정식(분석 함량),1,밥류,1010,볶음밥,101042,표고버섯,10104200,해당없음,0,해당없음,100g,184,58.9,3.36,4.81,1.12,31.79,0,2.6,5,0.3,39,167,299,0,0,0,0.04,0.043,0.083,0,0,0,0.5,0.02,3,식품의약품안전처,300g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-011000000-0001,비빔밥,D,음식,1,가정식(분석 함량),1,밥류,1011,비빔밥,101100,해당없음,10110000,해당없음,0,해당없음,100g,142,68.9,6.86,4.32,1.11,18.84,0.05,2,31,1.04,79,180,232,73,9,771,0.336,0.058,0,2.02,0,42.26,0.95,0.06,3,식품의약품안전처,450g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-011350000-0001,비빔밥_육회,D,음식,1,가정식(분석 함량),1,밥류,1011,비빔밥,101135,육회,10113500,해당없음,0,해당없음,100g,147,65.7,6.39,3.36,1.6,22.92,4.45,2.6,28,0.89,95,178,446,36,0,427,0.083,0.04,0,0,0,30.56,0.77,0.01,3,식품의약품안전처,300g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-011900000-0001,비빔밥_돌솥,D,음식,1,가정식(분석 함량),1,밥류,1011,비빔밥,101190,돌솥,10119000,해당없음,0,해당없음,100g,147,65.7,5.39,2.95,1.25,24.68,1.24,2.4,25,0.59,72,114,337,56,8,582,0.124,0.066,0,0.28,0,9.98,0.33,0.01,3,식품의약품안전처,380g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-013380000-0001,삼각김밥_참치마요네즈,D,음식,1,가정식(분석 함량),1,밥류,1013,삼각김밥,101338,참치마요네즈,10133800,해당없음,0,해당없음,100g,199,59.6,5.93,8.21,0.81,25.45,0,2.8,10,0.38,58,76,230,23,1,269,0,0.055,0,2.18,0,10.47,1,0.03,3,식품의약품안전처,200g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-015000000-0001,수수밥,D,음식,1,가정식(분석 함량),1,밥류,1015,수수밥,101500,해당없음,10150000,해당없음,0,해당없음,100g,161,60.8,3.16,0.92,0.15,35.02,0.08,1.1,4,0.17,25,26,1,0,0,0,0.01,0.01,0.16,0.08,0,0,0.13,0,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-016000000-0001,알밥,D,음식,1,가정식(분석 함량),1,밥류,1016,알밥,101600,해당없음,10160000,해당없음,0,해당없음,100g,128,72.8,4.73,5.11,1.59,15.75,2.3,3.5,43,0.44,61,128,430,39,0,467,0.379,0.036,0,2.64,0,45.98,0.59,0.03,3,식품의약품안전처,330g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-019000000-0001,영양돌솥밥,D,음식,1,가정식(분석 함량),1,밥류,1019,영양돌솥밥,101900,해당없음,10190000,해당없음,0,해당없음,100g,184,57.4,3.43,2.87,0.21,36.06,0.63,2.1,9,0.48,32,36,6,10,0,124,0.031,0.031,0.217,0,0,0,0.61,0.01,3,식품의약품안전처,350g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-021000000-0001,오므라이스,D,음식,1,가정식(분석 함량),1,밥류,1021,오므라이스,102100,해당없음,10210000,해당없음,0,해당없음,100g,173,64.3,6.5,7.23,1.42,20.54,3.19,2.4,19,0.84,93,163,433,64,31,398,0.138,0.103,0.493,67.24,0,86.99,1.38,0.02,3,식품의약품안전처,400g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-022000000-0001,자장밥,D,음식,1,가정식(분석 함량),1,밥류,1022,자장밥,102200,해당없음,10220000,해당없음,0,해당없음,100g,122,74.4,4.27,4.72,1.02,15.57,0.03,2.1,11,0.41,49,137,236,11,0,127,0.221,0.268,0.413,3.94,0,5.75,0.58,0.01,3,식품의약품안전처,470g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-023000000-0001,잡곡밥,D,음식,1,가정식(분석 함량),1,밥류,1023,잡곡밥,102300,해당없음,10230000,해당없음,0,해당없음,100g,146,63.9,5.3,0.87,0.58,29.33,0.32,6.1,17,1.33,111,157,3,0,0,1,0.155,0.125,0,0,0,0,0.22,0,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-024000000-0001,잡채밥,D,음식,1,가정식(분석 함량),1,밥류,1024,잡채밥,102400,해당없음,10240000,해당없음,0,해당없음,100g,150,65.8,4.02,3.42,0.95,25.79,0.05,3,16,0.78,47,148,227,118,0,1413,0.656,0.042,0.084,4.31,0,5.91,0.41,0.05,3,식품의약품안전처,550g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-026250000-0001,주먹밥_쇠고기,D,음식,1,가정식(분석 함량),1,밥류,1026,주먹밥,102625,쇠고기,10262500,해당없음,0,해당없음,100g,178,57.3,4.76,2.18,1.03,34.73,0.23,1.5,9,0.29,46,69,357,0,0,0,0,0.06,1.285,0,0,6.52,0.65,0.02,3,식품의약품안전처,200g,해당없음,1,분석,2019-12-31,2022-11-01,1471000,식품의약품안전처
D101-028000000-0001,짬뽕밥,D,음식,1,가정식(분석 함량),1,밥류,1028,짬뽕밥,102800,해당없음,10280000,해당없음,0,해당없음,100g,72,82.8,3.2,1.4,0.95,11.65,1.34,1.4,13,0.67,53,138,234,13,0,146,0.243,0.042,0.433,2.69,0,15.78,0.23,0.01,3,식품의약품안전처,900g,해당없음,1,분석,2019-12-31,2022-11-01,1471000,식품의약품안전처
D101-029000000-0001,차조밥,D,음식,1,가정식(분석 함량),1,밥류,1029,차조밥,102900,해당없음,10290000,해당없음,0,해당없음,100g,157,61.5,2.84,0.65,0.18,34.86,0.04,1.8,4,0.32,30,27,1,0,0,0,0.025,0.01,0,0.8,0,0,0.14,0,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-030000000-0001,찰밥,D,음식,1,가정식(분석 함량),1,밥류,1030,찰밥,103000,해당없음,10300000,해당없음,0,해당없음,100g,153,61.4,4.39,0.18,0.48,33.56,0.49,2.9,11,0.22,56,168,3,0,0,0,0.007,0.018,0,0.92,0,0,0.08,0,3,식품의약품안전처,280g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-031170000-0001,초밥_모듬,D,음식,1,가정식(분석 함량),1,밥류,1031,초밥,103117,모듬,10311700,해당없음,0,해당없음,100g,160,61.2,9.66,1.59,0.86,26.72,1.4,2,14,0.07,106,161,142,1,1,0,0.316,0.026,39.684,0,0.61,19.43,0.41,0.02,3,식품의약품안전처,380g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-031330000-0001,초밥_유부초밥,D,음식,1,가정식(분석 함량),1,밥류,1031,초밥,103133,유부초밥,10313300,해당없음,0,해당없음,100g,194,57.4,5.78,5.77,1.21,29.82,1.99,2.6,46,0.59,67,57,386,23,0,270,0,0.025,0.015,4.25,0,3.12,0.69,0.02,3,식품의약품안전처,200g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-033000000-0001,카레라이스,D,음식,1,가정식(분석 함량),1,밥류,1033,카레라이스,103300,해당없음,10330000,해당없음,0,해당없음,100g,108,73.9,3.11,1.4,0.81,20.74,0.16,0.5,12,0.3,35,91,210,13,0,155,0.115,0.017,0.217,3.16,0,2.79,0.44,0.04,3,식품의약품안전처,480g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D101-035000000-0001,콩나물밥,D,음식,1,가정식(분석 함량),1,밥류,1035,콩나물밥,103500,해당없음,10350000,해당없음,0,해당없음,100g,123,70.1,4.68,1.58,1.28,22.39,0.04,1.9,16,0.52,125,241,272,4,0,50,0.059,0.047,1.019,0,0,3.14,0.42,0.01,3,식품의약품안전처,320g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-036010000-0001,콩밥_검정콩,D,음식,1,가정식(분석 함량),1,밥류,1036,콩밥,103601,검정콩,10360100,해당없음,0,해당없음,100g,165,59.7,4.53,1.12,0.35,34.3,0,1.1,13,0.38,52,86,3,1,0,10,1.27,0.015,0.01,0,0,0,0.14,0,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-036320000-0001,콩밥_완두콩,D,음식,1,가정식(분석 함량),1,밥류,1036,콩밥,103632,완두콩,10363200,해당없음,0,해당없음,100g,138,64.6,2.95,0.16,1.05,31.25,0,1.9,44,0.34,32,70,295,1,0,14,0,0.005,0.305,0.03,0,0,0.1,0,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-037000000-0001,하이라이스,D,음식,1,가정식(분석 함량),1,밥류,1037,하이라이스,103700,해당없음,10370000,해당없음,0,해당없음,100g,112,72.7,4.02,1.13,0.84,21.34,0,0.9,10,0.07,36,77,246,6,0,69,0,0.011,0.097,1,0,2.83,0.13,0,3,식품의약품안전처,360g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-038000000-0001,현미밥,D,음식,1,가정식(분석 함량),1,밥류,1038,현미밥,103800,해당없음,10380000,해당없음,0,해당없음,100g,172,57.2,3.1,0.47,0.29,38.9,0,2,5,0.21,57,41,2,0,0,0,0.074,0.013,0.609,0.8,0,0,0.18,0,3,식품의약품안전처,230g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D101-039170000-0001,회덮밥_모듬,D,음식,1,가정식(분석 함량),1,밥류,1039,회덮밥,103917,모듬,10391700,해당없음,0,해당없음,100g,145,68,9.1,4.15,0.95,17.76,3.07,1.2,13,0.23,108,217,155,36,2,402,9.159,0.093,0.002,3,0.46,27.38,0.85,0.03,3,식품의약품안전처,410g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D102-003050000-0001,도넛_링도넛,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2003,도넛,200305,링도넛,20030500,해당없음,0,해당없음,100g,515,10.9,7.85,33.17,1.97,46.16,11.6,1.2,50,1.04,364,176,537,5,5,7,0.59,0.39,0.89,0,0,47.22,4.49,0.25,3,식품의약품안전처,100g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D102-004160000-0001,도넛_찹쌀,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2004,도넛,200416,찹쌀,20041600,해당없음,0,해당없음,100g,288,32.8,6,4.64,1,55.56,11.04,3.9,21,0.76,97,49,312,0,0,0,,0.1,0.257,0,0,0.49,0.64,0.03,3,식품의약품안전처,70g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D102-005000000-0001,마늘빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2005,마늘빵,200500,해당없음,20050000,해당없음,0,해당없음,100g,438,10.6,12.06,17.58,1.78,57.94,7.36,4.3,50,0.58,119,178,519,150,123,328,0.44,0.16,5.76,2.42,0,26.68,8.66,0.18,3,식품의약품안전처,50g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D102-008000000-0001,머핀,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2008,머핀,200800,해당없음,20080000,해당없음,0,해당없음,100g,384,20,5.73,13.84,1.32,59.15,39.65,1.1,44,0.69,137,99,411,112,109,35,0,0.077,0.338,0,0,59.16,6.86,0.15,3,식품의약품안전처,130g,해당없음,1,분석,2019-12-31,2022-11-01,1471000,식품의약품안전처
D102-009000000-0001,모닝빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2009,모닝빵,200900,해당없음,20090000,해당없음,0,해당없음,100g,314,29.3,9.5,7.43,1.59,52.17,7.97,2.4,30,0.56,98,115,489,48,43,50,0.857,0.186,0,0,0,40.54,3.03,0.06,3,식품의약품안전처,70g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D102-010000000-0001,모카빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2010,모카빵,201000,해당없음,20100000,해당없음,0,해당없음,100g,339,23.9,8.55,8.05,1.54,57.96,12.53,3.6,89,0.97,133,173,354,34,33,13,0,0.34,0.287,0.97,0,52.07,3.76,0.31,3,식품의약품안전처,150g,해당없음,1,분석,2019-12-31,2022-11-01,1471000,식품의약품안전처
D102-012000000-0001,베이글,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2012,베이글,201200,해당없음,20120000,해당없음,0,해당없음,100g,306,28.5,10,5.83,2.18,53.48,4.58,2.7,119,0.76,98,109,695,0,0,0,0.058,0.083,0.308,0,0,0,0.58,0.01,3,식품의약품안전처,120g,해당없음,1,분석,2019-12-31,2022-11-01,1471000,식품의약품안전처
D102-016020000-0001,샌드위치_닭가슴살,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2016,샌드위치,201602,닭가슴살,20160200,해당없음,0,해당없음,100g,240,53.2,12.18,11.92,1.78,20.96,3.09,2.4,58,0.17,129,200,438,10,0,121,0.174,0.113,4.896,0.38,0,28.07,3.16,0.17,3,식품의약품안전처,230g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D102-016060000-0001,샌드위치_모듬,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2016,샌드위치,201606,모듬,20160600,해당없음,0,해당없음,100g,193,67.2,9.5,13.44,1.43,8.44,0.6,1.9,78,0.75,187,152,358,36,22,164,0.164,0.15,0.532,2.87,0,82.1,3.63,0.07,3,식품의약품안전처,220g,해당없음,1,분석,2018-12-31,2022-11-01,1471000,식품의약품안전처
D102-016150000-0001,샌드위치_참치,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2016,샌드위치,201615,참치,20161500,해당없음,0,해당없음,100g,202,62.7,10.54,11.65,1.34,13.78,1.38,1.7,26,0.64,91,152,209,9,8,15,0,0.108,0.104,0.5,0,18.86,2.64,0.2,3,식품의약품안전처,250g,해당없음,1,분석,2019-12-31,2022-11-01,1471000,식품의약품안전처
D102-016170000-0001,샌드위치_채소,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2016,샌드위치,201617,채소,20161700,해당없음,0,해당없음,100g,244,55.8,4.08,14.75,1.52,23.82,14.26,2.5,25,0.07,47,162,426,21,0,257,0,0.039,0.028,1.52,0,6.42,2.88,0.06,3,식품의약품안전처,180g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D102-016240100-0001,샌드위치_햄_달걀,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2016,샌드위치,201624,햄,20162401,달걀,0,해당없음,100g,220,57.6,12.44,11.92,2.44,15.64,1.9,1.7,80,0.55,258,189,699,49,46,45,0,0.19,5.165,1.6,0,92.91,3.45,0.16,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2022-11-01,1471000,식품의약품안전처
D102-017000000-0001,소보로빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2017,소보로빵,201700,해당없음,20170000,해당없음,0,해당없음,100g,392,19.6,8.27,15.13,1.39,55.63,16.69,2.9,42,0.74,107,120,396,54,52,17,0,0.157,0,0.4,0,50.53,6.39,0.57,3,식품의약품안전처,70g,해당없음,1,분석,2019-12-31,2022-11-01,1471000,식품의약품안전처
D102-019000000-0001,식빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2019,식빵,201900,해당없음,20190000,해당없음,0,해당없음,100g,264,35.2,9.34,2.6,1.97,50.91,1.56,3.5,219,0.76,117,129,468,11,10,8,0,0.2,0,0.11,0,5.57,1.47,0.11,3,식품의약품안전처,100g,해당없음,1,분석,2019-12-31,2022-11-01,1471000,식품의약품안전처
